CURROPER,CONTROL,DEBT_MDN,PCTFLOAN,GRAD_DEBT_MDN,PCIP11,PCIP15,PCIP14,PCIP27,CIP11BACHL,CIP15BACHL,CIP14BACHL,CIP27BACHL,PCTPELL,Clusters,clusters
1,1,4633.0,0.7236,8300.0,0.0358,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.5864,0,3
1,3,8456.0,0.8462,10798.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7077,2,2
1,1,13727.0,0.6226,22862.5,0.0,0.0076,0.0,0.0,0.0,0.0,0.0,0.0,0.5737,0,3
1,1,3500.0,0.0368,4500.0,0.0343,0.0141,0.0,0.0,0.0,0.0,0.0,0.0,0.619,0,3
1,1,9833.0,0.0,14144.0,0.0347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3892,0,3
1,3,9780.0,0.6419,9833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4392,2,2
1,3,6333.0,0.4924,7600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4621,2,2
1,2,8453.0,0.7115,14144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,5,4
1,2,10000.0,0.6307,19000.0,0.0089,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5265,5,0
1,1,9000.0,0.4018,11000.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0,3
1,1,10500.0,0.5054,17216.5,0.0088,0.0018,0.0,0.0106,2.0,2.0,0.0,2.0,0.5152,3,1
1,1,4878.5,0.2262,5500.0,0.0651,0.0088,0.0,0.0,0.0,0.0,0.0,0.0,0.322,0,3
1,3,9833.0,0.0,14144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,2,2
1,1,8240.0,0.4018,17432.0,0.0406,0.0398,0.0,0.0008,2.0,2.0,0.0,2.0,0.5053,3,1
1,3,16500.0,0.5957,34000.0,0.0675,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.4242,2,0
1,3,14656.5,0.7816,25833.5,0.3058,0.2686,0.0,0.0,1.0,1.0,0.0,0.0,0.662,1,0
1,2,9833.0,0.5926,14144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5165,5,4
1,3,9200.0,0.8987,9500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8228,2,2
1,3,6333.0,0.809,11944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7865,2,2
1,1,7500.0,0.0111,14144.0,0.0192,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.2203,0,3
1,1,7000.0,0.0227,9500.0,0.0125,0.0025,0.0075,0.0144,0.0,0.0,0.0,0.0,0.2424,0,3
1,2,9500.0,0.5701,13240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4163,5,4
1,2,11830.0,0.5926,14144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5165,5,4
1,2,9833.0,0.5926,14144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5165,5,4
1,3,3500.0,0.6516,4166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8258,2,2
1,3,9500.0,0.534,9500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7065,2,2
1,2,9833.0,0.5926,14144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5165,5,4
1,1,8435.0,0.0686,11407.5,0.017,0.0064,0.0019,0.0039,0.0,0.0,0.0,0.0,0.2858,0,3
0,3,9500.0,0.4936,9500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7023,2,2
1,1,9500.0,0.1692,15000.0,0.0504,0.059,0.0,0.0146,0.0,0.0,0.0,0.0,0.5111,0,3
1,3,8963.0,0.3074,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6992,2,2
1,3,8150.0,0.9448,9500.0,0.1809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9834,2,2
1,2,19000.0,0.5697,25000.0,0.0051,0.0,0.0,0.0057,2.0,0.0,0.0,2.0,0.2858,3,1
1,1,8243.5,0.0401,13388.0,0.0022,0.0176,0.0033,0.0016,0.0,0.0,0.0,0.0,0.3905,0,3
1,1,9833.0,0.0,14144.0,0.0119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4941,0,3
1,3,14062.5,0.6246,16772.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5461,2,2
1,2,9833.0,0.3906,14144.0,0.123,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.75,5,0
